winner,manufacturer,team,tier,early_carnage,early_carnage_lap,total_cautions,green_white_checkered,running_at_finish,attrition_rate
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,16,0.2
Alex Bowman,Chevrolet,Hendrick,strong,True,4.0,8,True,0,1.0
Chris Buescher,Ford,RFK,strong,False,,8,True,7,0.65
Christopher Bell,Toyota,Joe Gibbs,elite,False,,2,True,18,0.1
Bubba Wallace,Toyota,23XI,strong,False,,4,True,16,0.2
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,16,0.2
Christopher Bell,Toyota,Joe Gibbs,elite,False,,4,True,13,0.35
Daniel Suarez,Chevrolet,Spire,strong,False,,6,True,12,0.4
Ryan Blaney,Ford,Penske,elite,True,2.0,6,True,7,0.65
Chase Elliott,Chevrolet,Hendrick,elite,False,,8,True,5,0.75
Austin Cindric,Ford,Penske,strong,False,,2,True,17,0.15
Brad Keselowski,Ford,RFK,strong,False,,3,True,18,0.1
Ross Chastain,Chevrolet,Trackhouse,strong,True,2.0,5,True,5,0.75
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,8,True,3,0.85
Austin Cindric,Ford,Penske,strong,False,,4,True,14,0.3
Bubba Wallace,Toyota,23XI,strong,True,2.0,8,True,1,0.95
Denny Hamlin,Toyota,Joe Gibbs,elite,True,4.0,7,True,4,0.8
Joey Logano,Ford,Penske,elite,False,,7,True,11,0.45
Tyler Reddick,Toyota,23XI,elite,False,,7,True,10,0.5
Chris Buescher,Ford,RFK,strong,False,,10,True,8,0.6
Ross Chastain,Chevrolet,Trackhouse,strong,False,,1,False,19,0.05
Joey Logano,Ford,Penske,elite,True,5.0,5,True,6,0.7
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,True,17,0.15
Kyle Busch,Chevrolet,RCR,strong,True,2.0,5,True,5,0.75
William Byron,Chevrolet,Hendrick,elite,False,,3,True,15,0.25
Chase Briscoe,Toyota,Joe Gibbs,strong,True,4.0,4,False,9,0.55
Tyler Reddick,Toyota,23XI,elite,False,,6,True,11,0.45
Ty Gibbs,Toyota,Joe Gibbs,strong,True,2.0,7,True,0,1.0
Chase Elliott,Chevrolet,Hendrick,elite,False,,7,True,5,0.75
Joey Logano,Ford,Penske,elite,False,,2,True,19,0.05
Tyler Reddick,Toyota,23XI,elite,True,5.0,3,True,9,0.55
Daniel Suarez,Chevrolet,Spire,strong,False,,6,True,10,0.5
Ryan Blaney,Ford,Penske,elite,False,,3,True,16,0.2
William Byron,Chevrolet,Hendrick,elite,True,4.0,6,True,3,0.85
Kyle Busch,Chevrolet,RCR,strong,False,,2,False,17,0.15
Michael McDowell,Chevrolet,Spire,mid,True,2.0,6,False,0,1.0
Chase Elliott,Chevrolet,Hendrick,elite,False,,6,True,10,0.5
Chris Buescher,Ford,RFK,strong,True,1.0,7,False,0,1.0
Kyle Busch,Chevrolet,RCR,strong,True,2.0,2,True,8,0.6
Chase Elliott,Chevrolet,Hendrick,elite,True,2.0,8,True,2,0.9
Bubba Wallace,Toyota,23XI,strong,False,,6,True,10,0.5
Michael McDowell,Chevrolet,Spire,mid,False,,7,True,10,0.5
Denny Hamlin,Toyota,Joe Gibbs,elite,True,4.0,3,False,6,0.7
Joey Logano,Ford,Penske,elite,False,,5,True,15,0.25
William Byron,Chevrolet,Hendrick,elite,True,4.0,4,False,5,0.75
Ricky Stenhouse Jr.,Chevrolet,HYAK,strong,False,,6,False,13,0.35
Ryan Blaney,Ford,Penske,elite,True,2.0,5,True,5,0.75
Bubba Wallace,Toyota,23XI,strong,False,,4,True,15,0.25
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,5,True,12,0.4
William Byron,Chevrolet,Hendrick,elite,True,2.0,8,True,3,0.85
Denny Hamlin,Toyota,Joe Gibbs,elite,True,4.0,7,True,0,1.0
William Byron,Chevrolet,Hendrick,elite,True,2.0,7,True,2,0.9
Chase Elliott,Chevrolet,Hendrick,elite,False,,5,False,13,0.35
Brad Keselowski,Ford,RFK,strong,False,,2,False,17,0.15
Denny Hamlin,Toyota,Joe Gibbs,elite,True,2.0,3,True,7,0.65
Joey Logano,Ford,Penske,elite,True,4.0,7,True,4,0.8
Alex Bowman,Chevrolet,Hendrick,strong,False,,3,True,18,0.1
Tyler Reddick,Toyota,23XI,elite,True,2.0,6,True,3,0.85
Ty Gibbs,Toyota,Joe Gibbs,strong,False,,6,False,8,0.6
Chase Elliott,Chevrolet,Hendrick,elite,False,,3,True,18,0.1
Austin Cindric,Ford,Penske,strong,False,,5,True,13,0.35
William Byron,Chevrolet,Hendrick,elite,False,,2,False,17,0.15
Brad Keselowski,Ford,RFK,strong,False,,4,False,13,0.35
Alex Bowman,Chevrolet,Hendrick,strong,False,,5,True,14,0.3
Kyle Larson,Chevrolet,Hendrick,elite,True,5.0,6,False,6,0.7
Chris Buescher,Ford,RFK,strong,True,3.0,3,False,9,0.55
Tyler Reddick,Toyota,23XI,elite,False,,4,True,17,0.15
Ryan Blaney,Ford,Penske,elite,True,2.0,6,True,1,0.95
William Byron,Chevrolet,Hendrick,elite,False,,1,True,20,0.0
Alex Bowman,Chevrolet,Hendrick,strong,False,,3,True,15,0.25
Alex Bowman,Chevrolet,Hendrick,strong,True,5.0,8,True,0,1.0
Chris Buescher,Ford,RFK,strong,False,,4,True,14,0.3
Denny Hamlin,Toyota,Joe Gibbs,elite,True,2.0,3,False,7,0.65
Denny Hamlin,Toyota,Joe Gibbs,elite,False,,3,True,14,0.3
Ryan Blaney,Ford,Penske,elite,False,,10,False,1,0.95
Daniel Suarez,Chevrolet,Spire,strong,False,,9,True,0,1.0
Ross Chastain,Chevrolet,Trackhouse,strong,False,,6,False,7,0.65
Joey Logano,Ford,Penske,elite,False,,4,True,12,0.4
Ross Chastain,Chevrolet,Trackhouse,strong,False,,3,True,18,0.1
Ross Chastain,Chevrolet,Trackhouse,strong,True,2.0,3,True,11,0.45
